"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"02/11/2024","2,015.35","2,038.70","2,043.60","1,997.00","193.61K","-1.15%"
"02/04/2024","2,038.70","2,057.90","2,061.30","2,030.80","559.52K","-0.73%"
"01/28/2024","2,053.70","2,035.80","2,083.20","2,028.20","715.67K","0.86%"
"01/21/2024","2,036.10","2,031.90","2,046.80","2,010.05","87.45K","0.34%"
"01/14/2024","2,029.30","2,053.50","2,062.50","2,004.75","172.81K","-1.09%"
"01/07/2024","2,051.60","2,052.20","2,067.30","2,017.35","272.35K","0.09%"
"12/31/2023","2,049.80","2,071.75","2,088.00","2,030.80","214.68K","-1.06%"
"12/24/2023","2,071.80","2,065.30","2,098.15","2,065.05","105.72K","0.13%"
"12/17/2023","2,069.10","2,033.70","2,083.00","2,029.45","170.15K","1.64%"
"12/10/2023","2,035.70","2,020.70","2,062.75","1,988.00","172.15K","1.87%"
"12/03/2023","1,998.30","2,075.30","2,130.20","1,995.00","1.84K","-3.51%"
"11/26/2023","2,071.00","2,002.50","2,073.20","2,001.40","443.71K","3.39%"
"11/19/2023","2,003.00","1,983.35","2,009.75","1,967.45","214.88K","0.92%"
"11/12/2023","1,984.70","1,942.95","1,996.40","1,935.75","133.12K","2.43%"
"11/05/2023","1,937.70","1,999.40","2,000.10","1,936.90","768.66K","-3.08%"
"10/29/2023","1,999.20","2,013.50","2,017.70","1,978.20","752.39K","0.04%"
"10/22/2023","1,998.50","1,987.70","2,019.70","1,964.60","867.94K","0.21%"
"10/15/2023","1,994.40","1,941.30","2,009.20","1,921.20","882.75K","2.72%"
"10/08/2023","1,941.50","1,861.00","1,946.20","1,857.50","678.58K","5.22%"
"10/01/2023","1,845.20","1,864.40","1,864.70","1,823.50","786.44K","-2.13%"
"09/24/2023","1,885.40","1,944.70","1,946.80","1,881.50","620.41K","-3.09%"
"09/17/2023","1,945.60","1,945.70","1,968.90","1,933.10","716.02K","-0.03%"
"09/10/2023","1,946.20","1,943.30","1,954.60","1,921.70","655.82K","0.18%"
"09/03/2023","1,942.70","1,966.70","1,972.60","1,940.00","458.73K","0.32%"
"08/27/2023","1,936.50","1,915.50","1,921.50","1,915.50","0.13K","1.33%"
"08/20/2023","1,911.10","1,893.60","1,920.80","1,892.80","1.81K","-0.28%"
"08/13/2023","1,916.50","1,945.60","1,948.20","1,914.20","683.81K","0.19%"
"08/06/2023","1,912.90","1,941.00","1,941.00","1,911.40","1.56K","-1.38%"
"07/30/2023","1,939.60","1,959.20","1,971.60","1,920.00","3.14K","-1.06%"
"07/23/2023","1,960.40","1,963.60","1,982.60","1,941.70","788.42K","-0.32%"
"07/16/2023","1,966.60","1,958.60","1,989.80","1,949.00","779.25K","0.11%"
"07/09/2023","1,964.40","1,930.70","1,968.50","1,918.00","909.54K","1.65%"
"07/02/2023","1,932.50","1,927.80","1,942.90","1,908.50","630.40K","0.16%"
"06/25/2023","1,929.40","1,936.30","1,943.40","1,900.60","695.95K","-0.01%"
"06/18/2023","1,929.60","1,970.70","1,971.80","1,919.50","603.94K","-2.11%"
"06/11/2023","1,971.20","1,975.60","1,985.90","1,936.10","787.00K","-0.30%"
"06/04/2023","1,977.20","1,962.30","1,987.80","1,953.80","697.35K","0.39%"
"05/28/2023","1,969.60","1,961.30","2,000.70","1,949.60","858.73K","0.33%"
"05/21/2023","1,963.10","1,998.40","2,006.20","1,954.70","433.81K","-1.86%"
"05/14/2023","2,000.30","2,033.00","2,046.50","1,973.00","167.19K","-0.97%"
"05/07/2023","2,019.80","2,024.60","2,056.00","2,005.70","939.70K","-0.25%"
"04/30/2023","2,024.80","2,000.20","2,085.40","1,985.70","959.33K","1.97%"
"04/23/2023","1,985.70","1,981.30","1,999.10","1,977.40","0.87K","0.31%"
"04/16/2023","1,979.50","2,002.70","2,007.60","1,969.80","0.85K","-1.13%"
"04/09/2023","2,002.20","2,000.00","2,048.60","1,984.00","1.94K","-0.48%"
"04/02/2023","2,011.90","1,968.10","2,033.80","1,950.00","2.56K","2.18%"
"03/26/2023","1,969.00","1,982.60","1,986.80","1,945.00","488.89K","-0.75%"
"03/19/2023","1,983.80","1,989.70","2,014.90","1,936.50","1.09M","0.52%"
"03/12/2023","1,973.50","1,877.10","1,993.70","1,875.70","1.35M","5.69%"
"03/05/2023","1,867.20","1,861.00","1,874.30","1,813.40","821.22K","0.68%"
"02/26/2023","1,854.60","1,818.00","1,864.40","1,810.80","796.23K","2.06%"
"02/19/2023","1,817.10","1,850.50","1,856.40","1,815.50","531.64K","-1.27%"
"02/12/2023","1,840.40","1,859.00","1,862.00","1,818.40","1.82K","-1.20%"
"02/05/2023","1,862.80","1,865.60","1,884.60","1,852.40","1.17K","-0.01%"
"01/29/2023","1,862.90","1,928.30","1,959.10","1,861.50","32.17K","-3.45%"
"01/22/2023","1,929.40","1,928.40","1,949.80","1,912.50","805.36K","0.06%"
"01/15/2023","1,928.20","1,923.80","1,939.00","1,898.60","701.58K","0.34%"
"01/08/2023","1,921.70","1,872.80","1,925.30","1,869.30","862.49K","2.78%"
"01/01/2023","1,869.70","1,831.80","1,875.20","1,829.90","599.23K","2.38%"
"12/25/2022","1,826.20","1,808.20","1,841.90","1,804.20","383.68K","1.22%"
"12/18/2022","1,804.20","1,801.60","1,833.80","1,792.70","569.54K","0.22%"
"12/11/2022","1,800.20","1,808.00","1,836.90","1,782.00","667.81K","-0.58%"
"12/04/2022","1,810.70","1,810.50","1,822.90","1,778.10","579.52K","0.06%"
"11/27/2022","1,809.60","1,771.10","1,818.70","1,752.90","674.26K","2.31%"
"11/20/2022","1,768.80","1,766.60","1,776.00","1,733.50","262.76K","0.82%"
"11/13/2022","1,754.40","1,769.40","1,791.80","1,749.20","844.22K","-0.85%"
"11/06/2022","1,769.40","1,678.60","1,775.60","1,667.10","1.03M","5.54%"
"10/30/2022","1,676.60","1,647.20","1,686.40","1,618.30","802.01K","1.93%"
"10/23/2022","1,644.80","1,662.90","1,679.40","1,640.70","730.03K","-0.69%"
"10/16/2022","1,656.30","1,649.90","1,674.30","1,621.10","655.04K","0.45%"
"10/09/2022","1,648.90","1,703.40","1,707.40","1,645.60","697.74K","-3.53%"
"10/02/2022","1,709.30","1,670.50","1,738.70","1,666.50","733.24K","2.23%"
"09/25/2022","1,672.00","1,643.00","1,684.40","1,618.00","385.32K","1.33%"
"09/18/2022","1,650.00","1,680.20","1,688.00","1,642.70","2.10K","-1.66%"
"09/11/2022","1,677.90","1,731.00","1,737.30","1,659.10","1.03K","-2.65%"
"09/04/2022","1,723.60","1,719.70","1,726.40","1,713.50","0.25K","0.34%"
"08/28/2022","1,717.70","1,740.10","1,748.60","1,707.00","4.70K","-1.32%"
"08/21/2022","1,740.60","1,750.50","1,769.30","1,730.40","29.63K","-0.71%"
"08/14/2022","1,753.00","1,808.20","1,808.20","1,749.50","25.51K","-2.89%"
"08/07/2022","1,805.20","1,780.30","1,814.40","1,776.20","29.18K","1.39%"
"07/31/2022","1,780.50","1,772.20","1,801.00","1,759.70","41.19K","0.51%"
"07/24/2022","1,771.50","1,730.10","1,774.20","1,713.80","32.23K","2.32%"
"07/17/2022","1,731.40","1,710.30","1,740.30","1,682.80","2.05K","1.40%"
"07/10/2022","1,707.50","1,741.80","1,748.20","1,700.60","1.85K","-2.24%"
"07/03/2022","1,746.70","1,817.00","1,817.00","1,736.80","3.80K","-3.28%"
"06/26/2022","1,805.90","1,839.60","1,842.80","1,788.90","255.55K","-1.33%"
"06/19/2022","1,830.30","1,840.60","1,850.30","1,817.70","632.65K","-0.56%"
"06/12/2022","1,840.60","1,879.00","1,882.50","1,806.10","943.72K","-1.86%"
"06/05/2022","1,875.50","1,853.70","1,879.60","1,826.50","735.03K","1.37%"
"05/29/2022","1,850.20","1,856.50","1,878.60","1,830.20","602.65K","-0.38%"
"05/22/2022","1,857.30","1,847.40","1,871.30","1,840.40","127.52K","0.68%"
"05/15/2022","1,844.70","1,815.00","1,850.40","1,790.00","1.21K","1.84%"
"05/08/2022","1,811.30","1,883.60","1,883.60","1,801.20","0.36K","-3.97%"
"05/01/2022","1,886.20","1,894.50","1,910.20","1,859.70","0.33K","-1.51%"
"04/24/2022","1,915.10","1,931.90","1,935.50","1,881.60","575.90K","-0.99%"
"04/17/2022","1,934.30","1,978.50","2,003.00","1,928.00","790.68K","-2.06%"
"04/10/2022","1,974.90","1,949.60","1,985.80","1,942.90","628.22K","1.51%"
"04/03/2022","1,945.60","1,927.10","1,952.20","1,916.20","674.97K","1.14%"
"03/27/2022","1,923.70","1,959.10","1,962.00","1,891.00","430.00K","-1.70%"
"03/20/2022","1,956.90","1,922.70","1,969.50","1,913.60","4.38K","1.30%"
"03/13/2022","1,931.70","1,985.60","1,990.00","1,898.60","1.78K","-2.81%"
"03/06/2022","1,987.60","1,984.30","2,078.70","1,965.40","5.47K","0.95%"
"02/27/2022","1,968.90","1,913.00","1,974.00","1,896.10","2.51K","4.22%"
"02/20/2022","1,889.20","1,903.50","1,976.50","1,878.60","912.48K","-0.56%"